Current score:
Waved survived: 11
Time elapsed: 257.085
Past game scores:
Waved survived: 1
Time elapsed: 3.39461
Waved survived: 1
Time elapsed: 9.33087
Waved survived: 5
Time elapsed: 96.9668
Waved survived: 4
Time elapsed: 67.7092
Waved survived: 4
Time elapsed: 67.7083
Waved survived: 4
Time elapsed: 67.7073
Waved survived: 4
Time elapsed: 67.7063
Waved survived: 4
Time elapsed: 67.7054
Waved survived: 4
Time elapsed: 67.7045
Waved survived: 4
Time elapsed: 67.7037
Waved survived: 4
Time elapsed: 67.7024
Waved survived: 4
Time elapsed: 67.7007
Waved survived: 4
Time elapsed: 67.6992
Waved survived: 4
Time elapsed: 67.6979
Waved survived: 4
Time elapsed: 67.6965
Waved survived: 4
Time elapsed: 67.6952
Waved survived: 4
Time elapsed: 67.6936
Waved survived: 4
Time elapsed: 67.6926
Waved survived: 4
Time elapsed: 67.6915
Waved survived: 4
Time elapsed: 67.6903
Waved survived: 4
Time elapsed: 67.6892
Waved survived: 4
Time elapsed: 67.6873
Waved survived: 4
Time elapsed: 67.6857
Waved survived: 4
Time elapsed: 67.6844
Waved survived: 4
Time elapsed: 67.6833
Waved survived: 4
Time elapsed: 67.682
Waved survived: 4
Time elapsed: 67.6804
Waved survived: 4
Time elapsed: 67.679
Waved survived: 4
Time elapsed: 67.6777
Waved survived: 4
Time elapsed: 66.9743
Waved survived: 1
Time elapsed: 28.8378
Waved survived: 1
Time elapsed: 28.8369
Waved survived: 1
Time elapsed: 28.8359
Waved survived: 1
Time elapsed: 28.835
Waved survived: 1
Time elapsed: 28.8345
Waved survived: 1
Time elapsed: 28.8339
Waved survived: 1
Time elapsed: 28.8333
Waved survived: 1
Time elapsed: 28.8326
Waved survived: 1
Time elapsed: 28.832
Waved survived: 1
Time elapsed: 28.8313
Waved survived: 1
Time elapsed: 28.8307
Waved survived: 1
Time elapsed: 28.8299
Waved survived: 1
Time elapsed: 28.829
Waved survived: 1
Time elapsed: 28.8282
Waved survived: 1
Time elapsed: 28.8276
Waved survived: 1
Time elapsed: 28.827
Waved survived: 1
Time elapsed: 28.8264
Waved survived: 1
Time elapsed: 28.8257
Waved survived: 1
Time elapsed: 28.825
Waved survived: 1
Time elapsed: 28.824
Waved survived: 1
Time elapsed: 28.8232
Waved survived: 1
Time elapsed: 28.8226
Waved survived: 1
Time elapsed: 28.8218
Waved survived: 1
Time elapsed: 28.821
Waved survived: 1
Time elapsed: 28.8202
Waved survived: 1
Time elapsed: 28.8194
Waved survived: 1
Time elapsed: 28.8186
Waved survived: 1
Time elapsed: 28.8177
Waved survived: 1
Time elapsed: 28.8168
Waved survived: 1
Time elapsed: 28.8159
Waved survived: 1
Time elapsed: 28.8148
Waved survived: 1
Time elapsed: 28.814
Waved survived: 1
Time elapsed: 28.8132
Waved survived: 1
Time elapsed: 28.8125
Waved survived: 1
Time elapsed: 28.8119
Waved survived: 1
Time elapsed: 28.8111
Waved survived: 1
Time elapsed: 28.8103
Waved survived: 1
Time elapsed: 28.8097
Waved survived: 1
Time elapsed: 28.8087
Waved survived: 1
Time elapsed: 28.808
Waved survived: 1
Time elapsed: 28.8072
Waved survived: 1
Time elapsed: 28.8065
Waved survived: 1
Time elapsed: 28.8059
Waved survived: 1
Time elapsed: 28.8052
Waved survived: 1
Time elapsed: 28.8042
Waved survived: 1
Time elapsed: 28.8033
Waved survived: 1
Time elapsed: 28.8024
Waved survived: 1
Time elapsed: 28.8014
Waved survived: 1
Time elapsed: 28.8005
Waved survived: 1
Time elapsed: 28.7999
Waved survived: 1
Time elapsed: 28.7992
Waved survived: 1
Time elapsed: 28.7986
Waved survived: 1
Time elapsed: 28.7979
Waved survived: 1
Time elapsed: 28.7971
Waved survived: 1
Time elapsed: 28.7965
Waved survived: 1
Time elapsed: 28.7955
Waved survived: 1
Time elapsed: 28.7945
Waved survived: 1
Time elapsed: 28.7937
Waved survived: 1
Time elapsed: 28.7928
Waved survived: 1
Time elapsed: 28.7918
Waved survived: 1
Time elapsed: 28.791
Waved survived: 1
Time elapsed: 28.7903
Waved survived: 1
Time elapsed: 28.7897
Waved survived: 1
Time elapsed: 28.7889
Waved survived: 1
Time elapsed: 28.7882
Waved survived: 1
Time elapsed: 28.7874
Waved survived: 1
Time elapsed: 28.7867
Waved survived: 1
Time elapsed: 28.786
Waved survived: 1
Time elapsed: 28.7853
Waved survived: 1
Time elapsed: 28.7845
Waved survived: 1
Time elapsed: 28.7839
Waved survived: 1
Time elapsed: 28.7833
Waved survived: 1
Time elapsed: 28.7825
Waved survived: 1
Time elapsed: 28.7817
Waved survived: 1
Time elapsed: 28.7806
Waved survived: 1
Time elapsed: 28.7797
Waved survived: 1
Time elapsed: 28.7787
Waved survived: 1
Time elapsed: 28.7778
Waved survived: 1
Time elapsed: 28.7771
Waved survived: 1
Time elapsed: 28.7765
Waved survived: 1
Time elapsed: 28.7756
Waved survived: 1
Time elapsed: 28.7745
Waved survived: 1
Time elapsed: 28.7738
Waved survived: 1
Time elapsed: 28.7732
Waved survived: 1
Time elapsed: 28.7726
Waved survived: 1
Time elapsed: 28.7718
Waved survived: 1
Time elapsed: 28.771
Waved survived: 1
Time elapsed: 28.77
Waved survived: 1
Time elapsed: 28.7691
Waved survived: 1
Time elapsed: 28.7684
Waved survived: 1
Time elapsed: 28.7674
Waved survived: 1
Time elapsed: 28.7664
Waved survived: 1
Time elapsed: 28.7656
Waved survived: 1
Time elapsed: 28.7644
Waved survived: 1
Time elapsed: 3.39905
Waved survived: 1
Time elapsed: 4.22019
Waved survived: 1
Time elapsed: 9.59823
Waved survived: 0
Time elapsed: 4.25219
Waved survived: 0
Time elapsed: 4.62802
Waved survived: 2
Time elapsed: 17.5918
Waved survived: 2
Time elapsed: 23.0764
